,Value1,Value2,Value3,Value4,Value5,Value6
0,33.0,10.0,12.0,616.0,18.0,854.0
1,33.0,10.0,12.0,616.0,18.0,853.0
2,33.0,10.0,13.0,616.0,18.0,855.0
3,33.0,10.0,13.0,616.0,19.0,853.0
4,33.0,10.0,14.0,617.0,18.0,853.0
5,33.0,10.0,12.0,616.0,17.0,853.0
6,33.0,9.0,13.0,616.0,17.0,853.0
7,33.0,10.0,14.0,616.0,17.0,853.0
8,33.0,8.0,14.0,616.0,18.0,855.0
9,33.0,9.0,13.0,616.0,17.0,855.0
10,32.0,9.0,13.0,616.0,17.0,854.0
11,33.0,10.0,14.0,616.0,18.0,854.0
12,33.0,10.0,13.0,616.0,18.0,852.0
13,33.0,10.0,14.0,617.0,17.0,853.0
14,33.0,10.0,12.0,616.0,18.0,854.0
15,32.0,9.0,14.0,617.0,19.0,854.0
16,33.0,9.0,12.0,616.0,18.0,853.0
17,32.0,10.0,13.0,616.0,18.0,853.0
18,33.0,11.0,12.0,617.0,19.0,854.0
19,32.0,10.0,13.0,616.0,18.0,855.0
20,33.0,9.0,14.0,616.0,18.0,853.0
21,33.0,11.0,13.0,616.0,18.0,853.0
22,31.0,11.0,14.0,616.0,20.0,852.0
23,32.0,10.0,13.0,616.0,18.0,853.0
24,32.0,10.0,13.0,616.0,18.0,854.0
25,33.0,10.0,13.0,616.0,18.0,853.0
26,32.0,11.0,12.0,616.0,18.0,853.0
27,32.0,10.0,13.0,617.0,18.0,853.0
28,32.0,9.0,12.0,617.0,18.0,854.0
29,32.0,10.0,12.0,617.0,17.0,853.0
30,33.0,10.0,12.0,616.0,18.0,855.0
31,33.0,11.0,13.0,616.0,18.0,853.0
32,32.0,9.0,13.0,617.0,18.0,854.0
33,32.0,9.0,14.0,616.0,18.0,853.0
34,34.0,10.0,14.0,616.0,18.0,853.0
35,34.0,9.0,13.0,616.0,18.0,853.0
36,32.0,9.0,13.0,616.0,17.0,853.0
37,33.0,10.0,14.0,616.0,18.0,854.0
38,32.0,10.0,13.0,616.0,18.0,854.0
39,32.0,10.0,12.0,617.0,18.0,853.0
40,33.0,9.0,12.0,616.0,19.0,853.0
41,33.0,11.0,13.0,616.0,17.0,853.0
42,32.0,10.0,13.0,617.0,18.0,853.0
43,33.0,9.0,14.0,616.0,18.0,855.0
44,32.0,10.0,14.0,617.0,19.0,853.0
45,33.0,9.0,14.0,617.0,17.0,854.0
46,33.0,10.0,12.0,616.0,18.0,855.0
47,34.0,11.0,12.0,616.0,18.0,855.0
48,33.0,9.0,12.0,616.0,18.0,854.0
49,32.0,11.0,13.0,616.0,17.0,854.0
50,32.0,9.0,12.0,617.0,19.0,853.0
51,32.0,10.0,12.0,616.0,19.0,853.0
52,33.0,10.0,13.0,616.0,18.0,853.0
53,32.0,9.0,12.0,617.0,18.0,853.0
54,33.0,11.0,14.0,616.0,18.0,853.0
55,33.0,10.0,13.0,616.0,18.0,853.0
56,33.0,11.0,13.0,616.0,18.0,854.0
57,32.0,10.0,14.0,617.0,18.0,854.0
58,33.0,10.0,13.0,616.0,18.0,854.0
59,33.0,10.0,14.0,616.0,18.0,854.0
60,33.0,11.0,13.0,616.0,18.0,854.0
61,32.0,9.0,12.0,616.0,18.0,853.0
62,32.0,9.0,12.0,617.0,17.0,853.0
63,33.0,9.0,13.0,616.0,17.0,854.0
64,33.0,10.0,12.0,616.0,18.0,854.0
65,32.0,10.0,12.0,616.0,18.0,854.0
66,32.0,10.0,12.0,616.0,17.0,853.0
67,32.0,11.0,13.0,616.0,19.0,853.0
68,33.0,10.0,13.0,616.0,18.0,854.0
69,33.0,9.0,13.0,617.0,19.0,853.0
70,32.0,9.0,12.0,615.0,18.0,853.0
71,33.0,11.0,13.0,617.0,19.0,853.0
72,32.0,10.0,14.0,616.0,18.0,853.0
73,33.0,10.0,14.0,616.0,17.0,853.0
74,33.0,9.0,13.0,616.0,19.0,853.0
75,32.0,9.0,13.0,616.0,18.0,853.0
76,32.0,10.0,14.0,616.0,18.0,853.0
77,33.0,9.0,13.0,616.0,18.0,853.0
78,33.0,10.0,14.0,615.0,18.0,854.0
79,32.0,11.0,14.0,616.0,18.0,854.0
80,32.0,11.0,13.0,617.0,18.0,853.0
81,32.0,9.0,13.0,616.0,19.0,853.0
82,33.0,9.0,14.0,616.0,18.0,854.0
83,33.0,9.0,13.0,617.0,18.0,855.0
84,33.0,10.0,13.0,616.0,17.0,855.0
85,33.0,9.0,14.0,617.0,17.0,854.0
86,33.0,10.0,14.0,616.0,18.0,853.0
87,32.0,10.0,13.0,617.0,18.0,853.0
88,33.0,9.0,13.0,616.0,19.0,854.0
89,32.0,9.0,14.0,616.0,18.0,853.0
90,33.0,10.0,13.0,617.0,18.0,854.0
91,33.0,11.0,13.0,616.0,18.0,855.0
92,32.0,10.0,13.0,617.0,18.0,853.0
93,32.0,10.0,12.0,617.0,18.0,854.0
94,33.0,10.0,14.0,616.0,18.0,853.0
95,34.0,9.0,13.0,616.0,18.0,853.0
96,31.0,9.0,13.0,617.0,18.0,854.0
97,33.0,9.0,12.0,617.0,17.0,854.0
98,32.0,9.0,13.0,616.0,18.0,853.0
99,33.0,10.0,12.0,617.0,17.0,853.0
100,32.0,11.0,13.0,616.0,17.0,855.0
101,32.0,10.0,13.0,616.0,18.0,854.0
102,33.0,11.0,12.0,617.0,18.0,854.0
103,32.0,10.0,14.0,616.0,17.0,853.0
104,32.0,9.0,13.0,616.0,19.0,854.0
105,32.0,11.0,13.0,617.0,18.0,854.0
106,32.0,10.0,13.0,616.0,18.0,853.0
