,Value1,Value2,Value3,Value4,Value5,Value6
0,67.0,60.0,13.0,622.0,15.0,855.0
1,56.0,60.0,13.0,621.0,16.0,855.0
2,55.0,60.0,14.0,622.0,16.0,856.0
3,56.0,60.0,13.0,622.0,15.0,856.0
4,56.0,61.0,13.0,622.0,15.0,855.0
5,55.0,60.0,13.0,622.0,15.0,855.0
6,56.0,60.0,13.0,621.0,16.0,855.0
7,55.0,60.0,14.0,622.0,16.0,856.0
8,56.0,60.0,13.0,622.0,15.0,856.0
9,56.0,61.0,13.0,622.0,15.0,855.0
10,55.0,60.0,13.0,622.0,15.0,855.0
11,56.0,60.0,13.0,621.0,16.0,855.0
12,55.0,60.0,14.0,622.0,16.0,856.0
13,56.0,60.0,13.0,622.0,15.0,856.0
14,56.0,61.0,13.0,622.0,15.0,855.0
15,56.0,61.0,14.0,622.0,15.0,855.0
16,58.0,61.0,14.0,623.0,15.0,855.0
17,57.0,62.0,14.0,623.0,16.0,855.0
18,57.0,62.0,14.0,622.0,15.0,855.0
19,58.0,62.0,13.0,623.0,16.0,856.0
20,58.0,61.0,14.0,622.0,16.0,856.0
21,57.0,61.0,14.0,623.0,16.0,855.0
22,58.0,62.0,14.0,623.0,16.0,856.0
23,57.0,62.0,14.0,622.0,16.0,855.0
24,57.0,62.0,14.0,622.0,16.0,855.0
25,58.0,61.0,14.0,623.0,15.0,856.0
26,58.0,61.0,13.0,622.0,16.0,856.0
27,57.0,61.0,14.0,622.0,15.0,855.0
28,58.0,62.0,13.0,623.0,16.0,856.0
29,58.0,61.0,13.0,622.0,16.0,856.0
30,57.0,62.0,14.0,623.0,16.0,855.0
31,57.0,62.0,13.0,623.0,16.0,855.0
32,58.0,61.0,13.0,622.0,16.0,856.0
33,58.0,61.0,13.0,622.0,16.0,855.0
34,57.0,62.0,14.0,622.0,16.0,856.0
35,57.0,61.0,13.0,622.0,16.0,855.0
36,57.0,62.0,13.0,623.0,15.0,855.0
37,57.0,62.0,14.0,622.0,15.0,856.0
38,57.0,62.0,13.0,623.0,15.0,855.0
39,57.0,62.0,13.0,623.0,16.0,855.0
40,57.0,61.0,13.0,622.0,15.0,855.0
41,58.0,62.0,14.0,622.0,16.0,855.0
42,57.0,63.0,13.0,622.0,16.0,856.0
43,57.0,61.0,14.0,622.0,15.0,856.0
44,57.0,62.0,13.0,622.0,16.0,855.0
45,57.0,62.0,13.0,622.0,15.0,856.0
46,57.0,62.0,13.0,622.0,15.0,855.0
47,57.0,62.0,13.0,622.0,16.0,855.0
48,57.0,62.0,14.0,622.0,15.0,856.0
49,57.0,62.0,14.0,622.0,15.0,856.0
50,58.0,62.0,14.0,622.0,16.0,856.0
51,57.0,62.0,13.0,622.0,16.0,856.0
52,57.0,62.0,13.0,622.0,15.0,856.0
53,57.0,63.0,13.0,622.0,16.0,854.0
54,58.0,62.0,13.0,622.0,15.0,856.0
55,57.0,61.0,14.0,622.0,15.0,855.0
56,57.0,62.0,13.0,622.0,15.0,856.0
57,57.0,62.0,13.0,622.0,16.0,855.0
58,58.0,61.0,13.0,622.0,15.0,856.0
59,58.0,62.0,14.0,622.0,16.0,855.0
60,58.0,61.0,13.0,621.0,16.0,856.0
61,58.0,62.0,13.0,622.0,15.0,856.0
62,58.0,62.0,13.0,622.0,16.0,856.0
63,58.0,63.0,13.0,622.0,15.0,855.0
64,58.0,63.0,14.0,622.0,16.0,855.0
65,58.0,62.0,14.0,622.0,16.0,855.0
66,58.0,62.0,13.0,622.0,16.0,856.0
67,58.0,62.0,13.0,622.0,15.0,855.0
68,58.0,63.0,14.0,622.0,16.0,856.0
69,58.0,62.0,14.0,622.0,15.0,856.0
70,58.0,62.0,14.0,622.0,15.0,856.0
71,57.0,62.0,13.0,622.0,15.0,856.0
72,58.0,64.0,14.0,622.0,16.0,856.0
73,58.0,62.0,14.0,622.0,15.0,855.0
74,58.0,63.0,14.0,622.0,15.0,855.0
75,58.0,62.0,14.0,622.0,15.0,856.0
76,58.0,63.0,14.0,622.0,16.0,856.0
77,58.0,61.0,14.0,622.0,16.0,856.0
78,58.0,62.0,14.0,622.0,16.0,856.0
79,58.0,63.0,14.0,622.0,15.0,855.0
80,58.0,62.0,13.0,622.0,15.0,856.0
81,57.0,63.0,13.0,621.0,16.0,855.0
82,58.0,62.0,14.0,622.0,16.0,855.0
83,58.0,63.0,13.0,622.0,16.0,856.0
84,58.0,62.0,14.0,622.0,15.0,856.0
85,58.0,63.0,14.0,622.0,16.0,856.0
86,58.0,63.0,13.0,622.0,15.0,855.0
87,58.0,65.0,14.0,622.0,15.0,856.0
88,59.0,64.0,14.0,622.0,16.0,856.0
89,58.0,63.0,14.0,622.0,15.0,855.0
90,58.0,63.0,14.0,622.0,15.0,855.0
91,58.0,64.0,13.0,622.0,15.0,856.0
92,58.0,62.0,14.0,622.0,16.0,855.0
93,59.0,62.0,14.0,622.0,16.0,855.0
94,58.0,63.0,14.0,622.0,15.0,856.0
95,58.0,63.0,15.0,622.0,16.0,855.0
96,58.0,63.0,15.0,622.0,16.0,855.0
97,58.0,63.0,13.0,622.0,15.0,855.0
98,58.0,62.0,13.0,622.0,16.0,856.0
99,59.0,62.0,14.0,622.0,15.0,856.0
100,58.0,64.0,13.0,622.0,16.0,855.0
101,58.0,63.0,13.0,622.0,15.0,856.0
102,58.0,63.0,13.0,622.0,15.0,856.0
103,58.0,63.0,14.0,622.0,15.0,855.0
104,58.0,63.0,14.0,622.0,16.0,855.0
105,58.0,63.0,13.0,622.0,16.0,856.0
106,58.0,63.0,13.0,622.0,16.0,856.0
107,58.0,62.0,14.0,622.0,16.0,856.0
108,58.0,64.0,14.0,623.0,16.0,856.0
109,58.0,63.0,14.0,621.0,16.0,856.0
110,58.0,63.0,14.0,622.0,16.0,856.0
111,58.0,63.0,14.0,623.0,15.0,856.0
112,59.0,62.0,13.0,622.0,16.0,855.0
113,59.0,63.0,14.0,623.0,16.0,855.0
114,59.0,63.0,14.0,622.0,15.0,856.0
115,58.0,63.0,14.0,623.0,16.0,856.0
116,59.0,62.0,13.0,622.0,16.0,856.0
117,58.0,63.0,14.0,622.0,15.0,856.0
118,58.0,64.0,14.0,622.0,15.0,856.0
119,59.0,63.0,14.0,622.0,15.0,855.0
120,58.0,64.0,14.0,622.0,15.0,856.0
121,58.0,63.0,13.0,622.0,16.0,856.0
122,58.0,63.0,14.0,622.0,16.0,856.0
123,59.0,64.0,13.0,622.0,16.0,856.0
124,59.0,64.0,14.0,622.0,15.0,855.0
125,59.0,63.0,14.0,622.0,15.0,856.0
126,59.0,63.0,13.0,623.0,15.0,855.0
127,59.0,62.0,14.0,623.0,16.0,856.0
128,58.0,62.0,13.0,622.0,16.0,855.0
129,59.0,63.0,13.0,622.0,15.0,855.0
130,58.0,63.0,13.0,623.0,16.0,856.0
131,59.0,63.0,13.0,622.0,15.0,856.0
132,58.0,62.0,14.0,623.0,15.0,856.0
133,58.0,63.0,14.0,622.0,15.0,856.0
134,59.0,62.0,13.0,622.0,15.0,856.0
135,58.0,64.0,13.0,623.0,15.0,855.0
136,58.0,62.0,14.0,622.0,15.0,855.0
137,59.0,64.0,14.0,622.0,16.0,856.0
138,59.0,63.0,14.0,623.0,15.0,855.0
139,59.0,64.0,13.0,623.0,15.0,856.0
140,58.0,62.0,14.0,622.0,15.0,855.0
141,59.0,64.0,13.0,623.0,16.0,856.0
142,59.0,63.0,14.0,622.0,16.0,855.0
143,58.0,64.0,14.0,623.0,16.0,856.0
144,59.0,63.0,14.0,623.0,16.0,856.0
145,59.0,63.0,14.0,623.0,15.0,856.0
146,59.0,64.0,14.0,623.0,15.0,855.0
147,59.0,64.0,13.0,622.0,16.0,854.0
148,59.0,63.0,14.0,623.0,15.0,855.0
149,59.0,64.0,13.0,623.0,15.0,855.0
150,59.0,63.0,13.0,623.0,16.0,856.0
151,58.0,63.0,14.0,623.0,16.0,856.0
152,59.0,63.0,14.0,623.0,16.0,855.0
153,59.0,64.0,14.0,623.0,16.0,855.0
154,59.0,64.0,14.0,623.0,16.0,855.0
155,59.0,63.0,14.0,623.0,16.0,855.0
156,60.0,63.0,13.0,623.0,15.0,855.0
157,59.0,63.0,14.0,623.0,16.0,856.0
158,60.0,63.0,13.0,623.0,15.0,856.0
159,58.0,63.0,13.0,622.0,15.0,856.0
160,58.0,63.0,13.0,623.0,16.0,855.0
161,59.0,63.0,14.0,623.0,16.0,855.0
162,59.0,62.0,13.0,623.0,15.0,855.0
163,59.0,63.0,14.0,623.0,15.0,856.0
164,59.0,63.0,13.0,623.0,16.0,856.0
165,59.0,63.0,13.0,623.0,15.0,856.0
166,60.0,63.0,14.0,623.0,15.0,856.0
167,58.0,64.0,14.0,623.0,15.0,855.0
168,59.0,63.0,13.0,623.0,16.0,855.0
169,60.0,64.0,14.0,623.0,16.0,856.0
170,60.0,63.0,14.0,623.0,16.0,856.0
171,59.0,63.0,14.0,622.0,16.0,855.0
172,58.0,63.0,14.0,623.0,16.0,856.0
173,59.0,64.0,13.0,623.0,16.0,856.0
174,60.0,63.0,14.0,623.0,15.0,856.0
175,60.0,62.0,14.0,623.0,15.0,855.0
176,59.0,63.0,14.0,623.0,15.0,855.0
177,59.0,62.0,14.0,623.0,16.0,856.0
178,59.0,62.0,14.0,623.0,15.0,855.0
179,60.0,64.0,13.0,623.0,15.0,856.0
180,59.0,63.0,14.0,623.0,16.0,856.0
181,59.0,62.0,14.0,623.0,15.0,856.0
182,59.0,64.0,13.0,623.0,16.0,855.0
183,59.0,63.0,14.0,623.0,16.0,856.0
184,59.0,62.0,14.0,622.0,15.0,856.0
185,59.0,62.0,14.0,623.0,16.0,856.0
186,60.0,62.0,13.0,623.0,16.0,855.0
187,60.0,63.0,14.0,623.0,16.0,856.0
188,59.0,62.0,14.0,623.0,15.0,855.0
189,59.0,63.0,14.0,623.0,15.0,856.0
190,59.0,62.0,14.0,623.0,16.0,855.0
191,60.0,63.0,14.0,623.0,16.0,855.0
192,59.0,64.0,14.0,623.0,16.0,856.0
193,59.0,63.0,15.0,623.0,16.0,856.0
194,61.0,63.0,14.0,623.0,16.0,856.0
195,59.0,63.0,14.0,623.0,15.0,855.0
196,60.0,63.0,14.0,624.0,15.0,856.0
197,59.0,62.0,14.0,623.0,15.0,855.0
198,59.0,63.0,13.0,623.0,15.0,856.0
199,59.0,63.0,14.0,623.0,15.0,856.0
200,59.0,62.0,14.0,623.0,15.0,855.0
201,60.0,62.0,14.0,623.0,15.0,856.0
202,60.0,63.0,14.0,623.0,15.0,855.0
203,59.0,63.0,14.0,623.0,15.0,855.0
204,60.0,63.0,14.0,623.0,16.0,856.0
205,59.0,62.0,13.0,623.0,15.0,855.0
206,59.0,63.0,15.0,623.0,16.0,856.0
207,60.0,63.0,13.0,623.0,15.0,855.0
208,60.0,63.0,13.0,623.0,15.0,855.0
