,Value1,Value2,Value3,Value4,Value5,Value6
0,89.0,50.0,19.0,563.0,57.0,745.0
1,87.0,50.0,20.0,563.0,58.0,744.0
2,88.0,50.0,20.0,562.0,58.0,74545.0
3,88.0,52.0,21.0,563.0,58.0,745.0
4,89.0,50.0,20.0,563.0,58.0,744.0
5,89.0,51.0,21.0,563.0,58.0,744.0
6,89.0,50.0,19.0,563.0,57.0,745.0
7,87.0,50.0,20.0,563.0,58.0,744.0
8,88.0,51.0,20.0,563.0,58.0,745.0
9,88.0,50.0,20.0,564.0,59.0,745.0
10,89.0,51.0,20.0,564.0,58.0,745.0
11,88.0,51.0,20.0,564.0,59.0,745.0
12,87.0,51.0,21.0,563.0,58.0,747.0
13,89.0,52.0,19.0,563.0,58.0,745.0
14,88.0,50.0,20.0,563.0,59.0,746.0
15,87.0,51.0,19.0,563.0,58.0,745.0
16,88.0,51.0,20.0,563.0,58.0,746.0
17,88.0,51.0,21.0,563.0,58.0,746.0
18,89.0,52.0,20.0,562.0,59.0,746.0
19,88.0,52.0,20.0,563.0,59.0,746.0
20,88.0,50.0,20.0,562.0,58.0,747.0
21,88.0,50.0,20.0,562.0,58.0,746.0
22,88.0,50.0,21.0,563.0,59.0,746.0
23,88.0,52.0,21.0,562.0,57.0,746.0
24,89.0,52.0,20.0,563.0,58.0,746.0
25,88.0,50.0,21.0,565.0,59.0,745.0
26,88.0,50.0,19.0,563.0,59.0,746.0
27,88.0,52.0,21.0,564.0,58.0,747.0
28,89.0,51.0,21.0,563.0,58.0,745.0
29,88.0,51.0,20.0,563.0,58.0,746.0
30,89.0,51.0,21.0,562.0,59.0,744.0
31,88.0,50.0,21.0,563.0,58.0,746.0
32,88.0,51.0,20.0,563.0,58.0,745.0
33,88.0,52.0,20.0,562.0,58.0,745.0
34,88.0,51.0,21.0,564.0,58.0,744.0
35,87.0,50.0,20.0,564.0,58.0,745.0
36,89.0,51.0,20.0,563.0,58.0,746.0
37,89.0,51.0,21.0,563.0,58.0,746.0
38,89.0,51.0,19.0,562.0,58.0,746.0
39,88.0,52.0,20.0,563.0,58.0,746.0
40,88.0,50.0,20.0,563.0,58.0,747.0
41,87.0,51.0,21.0,564.0,58.0,746.0
42,88.0,50.0,20.0,562.0,59.0,747.0
43,87.0,53.0,20.0,563.0,58.0,746.0
44,89.0,51.0,20.0,563.0,58.0,746.0
45,87.0,52.0,20.0,562.0,58.0,746.0
46,88.0,51.0,20.0,562.0,58.0,746.0
47,88.0,51.0,21.0,563.0,58.0,746.0
48,88.0,51.0,20.0,563.0,58.0,746.0
49,88.0,51.0,21.0,562.0,58.0,746.0
50,88.0,50.0,20.0,563.0,58.0,746.0
51,88.0,51.0,21.0,562.0,58.0,746.0
52,88.0,51.0,20.0,562.0,57.0,746.0
53,88.0,51.0,20.0,562.0,58.0,746.0
54,88.0,52.0,20.0,562.0,58.0,746.0
55,88.0,50.0,20.0,563.0,58.0,745.0
56,88.0,51.0,20.0,562.0,58.0,745.0
57,88.0,51.0,20.0,563.0,58.0,746.0
58,88.0,52.0,20.0,563.0,59.0,746.0
59,89.0,52.0,20.0,562.0,59.0,746.0
60,88.0,50.0,21.0,563.0,58.0,745.0
