,Value1,Value2,Value3,Value4,Value5,Value6
0,55.0,52.0,14.0,567.0,64.0,865.0
1,55.0,53.0,15.0,567.0,64.0,867.0
2,56.0,52.0,14.0,567.0,64.0,864.0
3,56.0,52.0,14.0,567.0,65.0,865.0
4,56.0,52.0,15.0,567.0,64.0,865.0
5,51.0,51.0,1416.0,566.0,65.0,865.0
6,55.0,52.0,14.0,567.0,64.0,865.0
7,55.0,53.0,15.0,567.0,64.0,867.0
8,56.0,52.0,14.0,567.0,64.0,864.0
9,56.0,52.0,14.0,567.0,65.0,865.0
10,56.0,52.0,15.0,567.0,64.0,865.0
11,55.0,52.0,14.0,567.0,64.0,865.0
12,55.0,53.0,15.0,567.0,64.0,867.0
13,56.0,52.0,14.0,567.0,64.0,864.0
14,56.0,52.0,14.0,567.0,65.0,865.0
15,56.0,52.0,15.0,567.0,64.0,865.0
16,57.0,52.0,15.0,569.0,64.0,865.0
17,55.0,51.0,15.0,569.0,64.0,867.0
18,56.0,51.0,14.0,568.0,64.0,866.0
19,57.0,51.0,14.0,568.0,64.0,866.0
20,56.0,51.0,15.0,569.0,64.0,865.0
21,56.0,53.0,14.0,568.0,64.0,866.0
22,56.0,53.0,14.0,569.0,64.0,866.0
23,56.0,51.0,14.0,568.0,64.0,867.0
24,55.0,53.0,15.0,569.0,65.0,866.0
25,57.0,53.0,14.0,569.0,64.0,865.0
26,57.0,53.0,16.0,569.0,63.0,866.0
27,56.0,51.0,14.0,569.0,64.0,865.0
28,56.0,52.0,14.0,569.0,65.0,865.0
29,56.0,51.0,14.0,569.0,65.0,865.0
30,57.0,52.0,13.0,568.0,65.0,865.0
31,57.0,52.0,14.0,569.0,64.0,867.0
32,56.0,53.0,15.0,569.0,63.0,868.0
33,56.0,51.0,15.0,569.0,63.0,865.0
34,55.0,51.0,14.0,568.0,63.0,866.0
35,56.0,51.0,14.0,568.0,65.0,865.0
36,56.0,52.0,15.0,568.0,64.0,865.0
37,56.0,52.0,15.0,568.0,65.0,866.0
38,56.0,53.0,15.0,568.0,64.0,865.0
39,56.0,50.0,14.0,567.0,63.0,865.0
40,56.0,51.0,15.0,568.0,65.0,866.0
41,55.0,52.0,13.0,569.0,64.0,865.0
42,57.0,52.0,15.0,569.0,65.0,867.0
43,56.0,51.0,15.0,569.0,64.0,866.0
44,55.0,52.0,14.0,569.0,63.0,867.0
45,54.0,52.0,14.0,570.0,64.0,866.0
46,52.0,51.0,14.0,569.0,64.0,866.0
47,53.0,52.0,14.0,569.0,64.0,866.0
48,54.0,52.0,14.0,570.0,64.0,866.0
49,52.0,53.0,13.0,569.0,64.0,865.0
50,51.0,53.0,14.0,569.0,65.0,866.0
51,52.0,53.0,15.0,569.0,64.0,865.0
52,51.0,51.0,14.0,569.0,64.0,866.0
53,54.0,52.0,14.0,568.0,64.0,868.0
54,53.0,52.0,15.0,569.0,64.0,866.0
55,52.0,51.0,14.0,569.0,64.0,866.0
56,53.0,53.0,15.0,568.0,64.0,866.0
57,53.0,52.0,13.0,569.0,64.0,867.0
