,Value1,Value2,Value3,Value4,Value5,Value6
0,35.0,372.0,16.0,629.0,19.0,865.0
1,34.0,71.0,15.0,629.0,19.0,864.0
2,36.0,71.0,15.0,630.0,19.0,866.0
3,35.0,72.0,15.0,630.0,19.0,867.0
4,37.0,72.0,14.0,629.0,19.0,867.0
5,35.0,71.0,15.0,629.0,20.0,867.0
6,37.0,72.0,16.0,629.0,19.0,865.0
7,34.0,71.0,15.0,629.0,19.0,864.0
8,36.0,71.0,15.0,630.0,19.0,866.0
9,35.0,72.0,15.0,630.0,19.0,867.0
10,37.0,72.0,14.0,629.0,19.0,867.0
11,35.0,71.0,15.0,629.0,20.0,867.0
12,37.0,72.0,16.0,629.0,19.0,865.0
13,34.0,71.0,15.0,629.0,19.0,864.0
14,37.0,71.0,14.0,630.0,18.0,865.0
15,36.0,72.0,15.0,629.0,19.0,865.0
16,36.0,70.0,14.0,630.0,19.0,866.0
17,35.0,71.0,15.0,629.0,19.0,865.0
18,36.0,72.0,15.0,629.0,18.0,865.0
19,35.0,71.0,16.0,629.0,18.0,866.0
20,35.0,72.0,14.0,630.0,20.0,865.0
21,35.0,70.0,14.0,629.0,19.0,866.0
22,37.0,72.0,15.0,630.0,19.0,865.0
23,37.0,70.0,15.0,630.0,20.0,865.0
24,36.0,71.0,15.0,630.0,19.0,865.0
25,36.0,72.0,14.0,629.0,18.0,866.0
26,36.0,71.0,14.0,630.0,18.0,865.0
27,35.0,72.0,15.0,630.0,19.0,865.0
28,36.0,71.0,15.0,630.0,19.0,866.0
29,36.0,72.0,15.0,629.0,18.0,864.0
30,35.0,72.0,15.0,629.0,19.0,866.0
31,35.0,72.0,15.0,630.0,20.0,867.0
32,36.0,71.0,13.0,629.0,19.0,865.0
33,36.0,72.0,16.0,629.0,19.0,866.0
34,35.0,71.0,16.0,630.0,20.0,864.0
35,36.0,72.0,15.0,630.0,20.0,864.0
36,35.0,72.0,16.0,630.0,20.0,865.0
37,35.0,72.0,14.0,629.0,19.0,866.0
38,36.0,71.0,15.0,628.0,19.0,864.0
39,36.0,72.0,16.0,630.0,19.0,865.0
40,37.0,72.0,14.0,629.0,20.0,865.0
41,35.0,72.0,16.0,629.0,20.0,866.0
42,37.0,71.0,15.0,630.0,20.0,864.0
43,37.0,72.0,14.0,629.0,19.0,865.0
44,37.0,72.0,16.0,630.0,20.0,866.0
45,36.0,72.0,15.0,630.0,19.0,865.0
46,37.0,73.0,16.0,630.0,19.0,864.0
47,36.0,71.0,14.0,629.0,18.0,867.0
48,36.0,71.0,15.0,629.0,19.0,864.0
49,37.0,71.0,15.0,629.0,20.0,864.0
50,37.0,72.0,15.0,629.0,18.0,865.0
51,37.0,72.0,16.0,630.0,19.0,866.0
52,35.0,72.0,15.0,629.0,19.0,866.0
53,35.0,73.0,16.0,629.0,19.0,866.0
54,35.0,73.0,16.0,630.0,19.0,865.0
55,35.0,72.0,16.0,630.0,19.0,865.0
56,35.0,71.0,15.0,630.0,19.0,866.0
57,35.0,73.0,15.0,629.0,19.0,865.0
58,36.0,72.0,15.0,630.0,19.0,866.0
59,35.0,72.0,15.0,629.0,20.0,866.0
60,34.0,71.0,15.0,630.0,19.0,865.0
61,36.0,72.0,15.0,630.0,20.0,865.0
62,36.0,72.0,14.0,630.0,20.0,865.0
63,36.0,72.0,14.0,629.0,20.0,866.0
64,35.0,73.0,14.0,630.0,18.0,866.0
65,35.0,71.0,15.0,630.0,19.0,865.0
66,35.0,73.0,15.0,629.0,20.0,866.0
67,35.0,71.0,14.0,629.0,18.0,865.0
68,35.0,71.0,15.0,629.0,19.0,866.0
69,35.0,72.0,14.0,630.0,19.0,864.0
70,36.0,72.0,15.0,630.0,20.0,865.0
71,36.0,71.0,15.0,629.0,20.0,865.0
72,35.0,72.0,15.0,629.0,19.0,864.0
73,35.0,72.0,15.0,630.0,19.0,864.0
74,35.0,70.0,16.0,629.0,19.0,866.0
75,36.0,70.0,15.0,629.0,19.0,865.0
76,35.0,73.0,15.0,629.0,19.0,864.0
77,35.0,72.0,15.0,630.0,18.0,865.0
78,35.0,73.0,15.0,629.0,19.0,867.0
79,37.0,70.0,15.0,629.0,19.0,865.0
80,35.0,73.0,16.0,629.0,20.0,865.0
81,35.0,70.0,16.0,630.0,19.0,865.0
82,36.0,73.0,14.0,629.0,19.0,865.0
83,36.0,70.0,16.0,630.0,20.0,865.0
