Folder,N_A,N_T,P_A,P_T,K_A,K_T,N_Quantity,P_Quantity,K_Quantity
taroda_afterChange/d_200,89.38677791,70.44886467,16.04103211,726.0682036,16.94832696,857.0695239,1.131564,0.062664,5.505528
taroda_afterChange/d_220,124.1888548,73.53536239,15.50482468,731.9347863,17.41521341,856.9045831,1.028695,0.056967,5.005025
taroda_afterChange/d_240,206.8987586,72.36956125,20.83952072,737.1393241,20.29822672,856.8267842,0.94297,0.05222,4.58794
taroda_afterChange/d_60,27.97525942,38.70253813,17.32264648,571.5244686,16.15127077,856.8541538,3.77188,0.20888,18.35176
taroda_afterChange/d_80,26.7055302,43.21918291,15.53639275,573.7985535,17.70044654,857.6871353,2.82891,0.15666,13.76382
ujawala_phata_afterChange/d_100,150.6342993,97.63208728,35.4685751,662.3816069,50.1802009,852.0808383,1.886304,0.14028,8.00436
ujawala_phata_afterChange/d_120,130.3059235,61.73678709,33.4430734,681.4884767,46.10893962,851.4300939,1.57192,0.1169,6.6703
ujawala_phata_afterChange/d_140,154.1317809,63.16755077,34.99104304,683.3661463,45.89845868,851.201024,1.34736,0.1002,5.7174
ujawala_phata_afterChange/d_160,189.8131282,68.2197189,33.61161737,699.646993,45.68918013,839.5831638,1.17894,0.087675,5.002725
ujawala_phata_afterChange/d_180,238.4145952,86.76772023,32.43428601,694.6409783,44.99328417,834.2319348,1.047947,0.77933,4.446867
ujawala_phata_afterChange/d_200,282.7532319,68.52754381,41.00807164,693.1927757,53.83313593,848.1817799,0.943152,0.07014,4.00218
ujawala_phata_afterChange/d_220,311.16761,81.74274196,45.20038741,686.7712444,58.44221406,852.596085,0.857411,0.063764,3.638345
ujawala_phata_afterChange/d_240,367.1986692,87.22003876,47.24921694,680.7452082,64.90822243,854.6044481,0.78596,0.05845,3.33515
ujawala_phata_afterChange/d_60,109.701085,48.12539393,40.55802089,599.6195376,55.71902398,847.5137094,3.14384,0.2338,13.3406
ujawala_phata_afterChange/d_80,109.3924534,51.56405773,43.05419037,629.1176784,49.69588105,832.9314169,2.35788,0.17535,10.00545
ujwala/d_100,88.13792091,42.48422833,20.67648588,545.1167814,58.34435692,748.6548823,2.053632,0.25536,10.3358
ujwala/d_120,88.8262592,45.68200222,20.16906606,552.2073745,58.60865191,791.2528894,1.71136,0.2128,8.61322
ujwala/d_140,88.28108121,48.83338929,21.01283064,556.6464794,58.226738,731.0834133,1.46688,0.1824,7.38276
ujwala/d_160,88.19790373,51.13760804,20.61497197,562.5500117,58.08692649,744.0217218,1.28352,0.1596,6.459915
ujwala/d_180,88.39113964,53.23132633,20.00815267,570.075087,58.20249664,755.4097604,1.140907,0.14186,5.742147
ujwala/d_200,88.40179499,55.5764467,21.08660091,576.9199443,58.02036994,765.7459577,1.026816,0.12768,5.167932
ujwala/d_220,87.55113255,57.49837304,18.02666719,595.448896,57.01238442,796.9759607,0.933469,0.116073,4.69812
ujwala/d_240,86.15389694,62.63661018,20.43111179,605.6593552,51.48754368,848.6945745,0.85568,0.1064,4.30661
ujwala/d_60,85.94947785,38.98771249,19.5779936,523.6927786,59.9565269,761.8485656,3.42272,0.4256,17.22644
ujwala/d_80,88.89381045,41.14196086,21.04085948,535.1980746,57.51726885,695.0286115,2.56704,0.3192,12.91983
