,Value1,Value2,Value3,Value4,Value5,Value6
0,88.0,44.0,21.0,55050.0,59.0,785.0
1,88.0,44.0,20.0,550.0,59.0,785.0
2,88.0,44.0,21.0,550.0,59.0,785.0
3,88.0,44.0,20.0,550.0,59.0,785.0
4,87.0,44.0,20.0,550.0,58.0,785.0
5,88.0,44.0,21.0,550.0,58.0,784.0
6,88.0,44.0,21.0,55050.0,59.0,785.0
7,88.0,44.0,20.0,550.0,59.0,785.0
8,88.0,44.0,21.0,550.0,59.0,785.0
9,88.0,44.0,20.0,550.0,59.0,785.0
10,87.0,44.0,20.0,550.0,58.0,785.0
11,88.0,44.0,21.0,550.0,58.0,784.0
12,89.0,44.0,20.0,550.0,59.0,784.0
13,88.0,44.0,20.0,551.0,59.0,785.0
14,88.0,44.0,20.0,551.0,58.0,783.0
15,89.0,44.0,20.0,551.0,58.0,784.0
16,89.0,46.0,20.0,551.0,59.0,784.0
17,88.0,44.0,20.0,550.0,58.0,785.0
18,89.0,44.0,21.0,550.0,59.0,785.0
19,88.0,46.0,20.0,551.0,59.0,785.0
20,89.0,45.0,19.0,550.0,59.0,785.0
21,89.0,45.0,20.0,551.0,58.0,784.0
22,88.0,46.0,20.0,550.0,58.0,785.0
23,89.0,44.0,20.0,551.0,59.0,785.0
24,89.0,44.0,19.0,550.0,59.0,785.0
25,89.0,45.0,21.0,551.0,60.0,784.0
26,89.0,45.0,19.0,551.0,58.0,785.0
27,89.0,45.0,20.0,550.0,59.0,784.0
28,89.0,45.0,21.0,550.0,59.0,785.0
29,89.0,44.0,21.0,550.0,58.0,783.0
30,89.0,45.0,21.0,550.0,58.0,784.0
31,90.0,45.0,20.0,551.0,58.0,785.0
32,88.0,44.0,20.0,549.0,59.0,785.0
33,88.0,45.0,20.0,550.0,59.0,783.0
34,88.0,45.0,21.0,550.0,58.0,785.0
35,88.0,45.0,20.0,552.0,58.0,785.0
36,88.0,46.0,20.0,551.0,58.0,785.0
37,89.0,44.0,21.0,549.0,59.0,784.0
38,89.0,45.0,21.0,550.0,58.0,784.0
39,89.0,46.0,20.0,550.0,59.0,784.0
40,89.0,44.0,19.0,551.0,58.0,784.0
41,89.0,45.0,20.0,550.0,58.0,785.0
42,89.0,45.0,20.0,550.0,58.0,785.0
43,89.0,44.0,20.0,550.0,59.0,785.0
44,89.0,44.0,20.0,550.0,58.0,785.0
45,88.0,45.0,19.0,550.0,59.0,785.0
46,89.0,45.0,20.0,550.0,58.0,785.0
47,88.0,45.0,20.0,550.0,59.0,786.0
48,89.0,45.0,20.0,551.0,59.0,785.0
49,89.0,46.0,20.0,550.0,59.0,786.0
50,88.0,45.0,21.0,550.0,59.0,785.0
51,89.0,44.0,20.0,550.0,59.0,786.0
52,89.0,45.0,20.0,549.0,57.0,785.0
53,89.0,45.0,20.0,550.0,59.0,785.0
54,89.0,44.0,21.0,549.0,59.0,785.0
55,88.0,44.0,21.0,551.0,58.0,785.0
56,89.0,44.0,20.0,551.0,59.0,785.0
57,89.0,45.0,20.0,550.0,59.0,785.0
58,89.0,46.0,21.0,550.0,59.0,786.0
59,89.0,44.0,20.0,551.0,59.0,786.0
60,88.0,45.0,20.0,551.0,59.0,786.0
61,89.0,45.0,20.0,550.0,59.0,785.0
62,89.0,45.0,20.0,551.0,59.0,786.0
63,89.0,44.0,20.0,550.0,59.0,786.0
64,89.0,45.0,20.0,550.0,59.0,785.0
65,90.0,45.0,21.0,550.0,58.0,787.0
66,89.0,46.0,20.0,551.0,58.0,785.0
67,89.0,46.0,19.0,550.0,58.0,785.0
68,89.0,44.0,20.0,550.0,59.0,786.0
69,89.0,44.0,20.0,550.0,58.0,786.0
70,88.0,46.0,20.0,551.0,59.0,785.0
71,88.0,45.0,20.0,550.0,59.0,785.0
72,89.0,46.0,20.0,551.0,59.0,785.0
73,89.0,45.0,20.0,550.0,59.0,786.0
74,89.0,47.0,20.0,550.0,59.0,786.0
75,89.0,45.0,21.0,550.0,59.0,786.0
76,88.0,46.0,20.0,551.0,58.0,786.0
77,88.0,46.0,21.0,550.0,58.0,785.0
78,89.0,46.0,20.0,550.0,59.0,786.0
79,89.0,45.0,20.0,550.0,58.0,785.0
80,89.0,46.0,20.0,550.0,58.0,785.0
81,89.0,46.0,21.0,550.0,59.0,786.0
82,89.0,44.0,20.0,550.0,59.0,786.0
83,89.0,46.0,21.0,549.0,59.0,785.0
84,89.0,45.0,19.0,550.0,59.0,786.0
85,88.0,45.0,20.0,551.0,58.0,786.0
86,89.0,46.0,20.0,551.0,58.0,787.0
87,89.0,45.0,20.0,550.0,59.0,786.0
88,88.0,46.0,20.0,550.0,59.0,786.0
89,88.0,46.0,20.0,550.0,59.0,785.0
90,89.0,45.0,21.0,551.0,59.0,786.0
91,88.0,46.0,21.0,551.0,58.0,785.0
92,89.0,46.0,20.0,550.0,59.0,785.0
93,89.0,46.0,20.0,550.0,59.0,786.0
94,89.0,46.0,21.0,551.0,58.0,786.0
95,89.0,45.0,21.0,551.0,59.0,786.0
96,89.0,45.0,20.0,550.0,59.0,786.0
97,89.0,45.0,20.0,550.0,59.0,786.0
98,88.0,45.0,20.0,551.0,59.0,786.0
99,89.0,44.0,20.0,550.0,60.0,786.0
100,89.0,44.0,20.0,550.0,60.0,786.0
101,89.0,46.0,20.0,550.0,59.0,786.0
102,89.0,45.0,20.0,550.0,58.0,786.0
103,89.0,46.0,21.0,550.0,58.0,786.0
104,89.0,45.0,21.0,550.0,58.0,785.0
105,89.0,46.0,21.0,550.0,58.0,785.0
106,89.0,44.0,20.0,550.0,60.0,786.0
107,89.0,44.0,20.0,551.0,59.0,786.0
108,89.0,44.0,19.0,550.0,59.0,786.0
109,89.0,46.0,20.0,550.0,59.0,786.0
110,88.0,45.0,21.0,550.0,59.0,786.0
111,88.0,45.0,20.0,550.0,58.0,787.0
112,89.0,45.0,20.0,550.0,58.0,787.0
113,88.0,46.0,21.0,550.0,59.0,786.0
114,89.0,44.0,20.0,550.0,59.0,786.0
115,88.0,45.0,20.0,551.0,58.0,785.0
116,90.0,45.0,20.0,550.0,59.0,786.0
117,89.0,45.0,19.0,550.0,58.0,786.0
118,89.0,45.0,20.0,550.0,59.0,786.0
119,90.0,45.0,20.0,549.0,59.0,786.0
120,88.0,45.0,20.0,551.0,59.0,786.0
121,89.0,44.0,20.0,551.0,59.0,786.0
122,88.0,44.0,20.0,550.0,59.0,786.0
123,89.0,44.0,20.0,549.0,59.0,787.0
124,88.0,45.0,20.0,550.0,59.0,787.0
125,89.0,45.0,20.0,549.0,59.0,786.0
126,89.0,45.0,20.0,550.0,59.0,786.0
127,89.0,46.0,21.0,550.0,58.0,786.0
128,89.0,45.0,20.0,551.0,58.0,786.0
129,89.0,44.0,20.0,550.0,58.0,785.0
130,89.0,46.0,21.0,551.0,58.0,785.0
131,89.0,45.0,21.0,551.0,59.0,786.0
132,89.0,45.0,20.0,550.0,58.0,787.0
133,89.0,46.0,19.0,550.0,58.0,786.0
134,89.0,44.0,20.0,550.0,59.0,786.0
135,89.0,45.0,19.0,550.0,59.0,786.0
136,89.0,45.0,21.0,551.0,59.0,787.0
137,89.0,44.0,21.0,551.0,58.0,786.0
138,89.0,44.0,21.0,551.0,59.0,786.0
139,89.0,45.0,21.0,551.0,59.0,787.0
140,88.0,44.0,21.0,551.0,58.0,786.0
141,88.0,45.0,20.0,550.0,58.0,786.0
142,89.0,45.0,19.0,550.0,59.0,785.0
143,89.0,45.0,20.0,551.0,59.0,786.0
144,89.0,45.0,20.0,550.0,59.0,786.0
145,89.0,45.0,19.0,551.0,59.0,786.0
146,89.0,44.0,19.0,550.0,60.0,786.0
147,88.0,44.0,21.0,550.0,59.0,786.0
148,89.0,44.0,20.0,551.0,59.0,786.0
149,88.0,45.0,20.0,551.0,59.0,787.0
150,88.0,45.0,20.0,551.0,58.0,787.0
151,89.0,45.0,21.0,550.0,59.0,786.0
152,89.0,44.0,21.0,551.0,58.0,786.0
153,89.0,45.0,21.0,551.0,58.0,786.0
154,88.0,44.0,20.0,550.0,60.0,785.0
155,89.0,44.0,19.0,550.0,59.0,786.0
156,89.0,44.0,20.0,551.0,59.0,787.0
157,88.0,45.0,20.0,551.0,59.0,787.0
158,89.0,46.0,20.0,550.0,59.0,786.0
159,89.0,44.0,20.0,550.0,59.0,786.0
160,89.0,44.0,19.0,551.0,58.0,786.0
161,89.0,45.0,20.0,551.0,59.0,787.0
162,89.0,45.0,21.0,551.0,58.0,787.0
163,89.0,45.0,21.0,550.0,58.0,786.0
164,88.0,45.0,21.0,551.0,59.0,786.0
165,89.0,44.0,21.0,551.0,58.0,786.0
166,89.0,44.0,20.0,551.0,58.0,786.0
167,89.0,45.0,20.0,551.0,58.0,786.0
168,89.0,44.0,20.0,551.0,59.0,787.0
169,89.0,45.0,20.0,550.0,59.0,786.0
170,89.0,45.0,20.0,550.0,59.0,786.0
171,89.0,45.0,20.0,551.0,59.0,787.0
172,89.0,45.0,21.0,551.0,58.0,786.0
173,88.0,45.0,20.0,551.0,60.0,786.0
174,89.0,44.0,21.0,550.0,59.0,786.0
175,88.0,44.0,21.0,551.0,58.0,786.0
176,89.0,45.0,21.0,551.0,58.0,786.0
177,90.0,44.0,20.0,551.0,59.0,786.0
178,88.0,45.0,19.0,551.0,59.0,787.0
179,89.0,46.0,20.0,550.0,58.0,787.0
180,89.0,45.0,21.0,550.0,58.0,787.0
181,89.0,45.0,20.0,551.0,60.0,786.0
182,89.0,45.0,21.0,550.0,59.0,787.0
183,89.0,44.0,21.0,550.0,59.0,787.0
184,89.0,44.0,20.0,550.0,59.0,786.0
185,89.0,44.0,20.0,551.0,59.0,786.0
186,88.0,45.0,20.0,550.0,58.0,787.0
187,89.0,44.0,21.0,551.0,59.0,787.0
188,89.0,45.0,21.0,551.0,59.0,787.0
189,89.0,44.0,20.0,551.0,59.0,786.0
190,89.0,45.0,21.0,551.0,58.0,787.0
191,89.0,45.0,20.0,551.0,58.0,787.0
192,88.0,45.0,20.0,551.0,59.0,787.0
193,89.0,45.0,20.0,550.0,58.0,787.0
194,88.0,44.0,20.0,550.0,59.0,787.0
195,89.0,46.0,20.0,550.0,59.0,788.0
196,88.0,45.0,20.0,551.0,59.0,788.0
197,89.0,45.0,20.0,550.0,60.0,787.0
198,88.0,44.0,19.0,550.0,59.0,787.0
199,88.0,45.0,21.0,551.0,59.0,787.0
200,89.0,44.0,20.0,551.0,58.0,788.0
201,89.0,46.0,21.0,551.0,58.0,787.0
202,88.0,45.0,21.0,551.0,58.0,787.0
203,89.0,45.0,20.0,550.0,58.0,787.0
204,88.0,46.0,20.0,551.0,59.0,787.0
205,89.0,45.0,20.0,550.0,60.0,787.0
206,89.0,44.0,20.0,551.0,58.0,787.0
207,88.0,44.0,20.0,550.0,59.0,788.0
208,88.0,45.0,20.0,551.0,59.0,788.0
209,89.0,45.0,20.0,550.0,59.0,787.0
210,89.0,44.0,20.0,550.0,59.0,787.0
211,89.0,44.0,20.0,550.0,59.0,788.0
212,88.0,44.0,21.0,551.0,59.0,787.0
213,89.0,45.0,20.0,551.0,59.0,788.0
214,88.0,44.0,21.0,550.0,58.0,788.0
215,88.0,45.0,21.0,552.0,58.0,788.0
216,89.0,44.0,20.0,550.0,58.0,787.0
217,90.0,46.0,20.0,551.0,58.0,788.0
218,88.0,46.0,20.0,550.0,58.0,787.0
219,88.0,44.0,20.0,551.0,58.0,788.0
220,88.0,46.0,19.0,551.0,59.0,788.0
221,89.0,46.0,20.0,551.0,59.0,788.0
222,89.0,46.0,19.0,551.0,59.0,788.0
223,88.0,45.0,20.0,551.0,59.0,789.0
224,89.0,45.0,20.0,550.0,57.0,789.0
225,89.0,45.0,22.0,550.0,59.0,788.0
226,89.0,45.0,20.0,551.0,58.0,788.0
227,88.0,46.0,20.0,551.0,59.0,787.0
228,89.0,45.0,21.0,550.0,59.0,788.0
229,89.0,45.0,20.0,551.0,59.0,788.0
230,89.0,45.0,20.0,551.0,59.0,788.0
231,89.0,45.0,21.0,551.0,59.0,787.0
232,89.0,46.0,20.0,551.0,59.0,788.0
233,89.0,44.0,19.0,551.0,59.0,789.0
234,88.0,45.0,20.0,552.0,58.0,788.0
235,88.0,45.0,20.0,550.0,58.0,788.0
236,89.0,45.0,20.0,551.0,59.0,787.0
237,88.0,46.0,21.0,551.0,59.0,789.0
238,89.0,45.0,21.0,551.0,59.0,788.0
239,88.0,45.0,20.0,551.0,58.0,788.0
240,90.0,45.0,20.0,551.0,58.0,788.0
241,89.0,45.0,20.0,551.0,58.0,788.0
242,89.0,46.0,20.0,552.0,58.0,788.0
243,89.0,45.0,20.0,551.0,59.0,788.0
244,89.0,45.0,20.0,551.0,59.0,788.0
245,89.0,45.0,20.0,551.0,59.0,788.0
246,89.0,46.0,20.0,551.0,58.0,788.0
247,89.0,46.0,20.0,551.0,59.0,788.0
248,89.0,44.0,21.0,551.0,59.0,788.0
249,89.0,45.0,20.0,550.0,59.0,788.0
250,88.0,46.0,21.0,551.0,58.0,788.0
251,88.0,46.0,21.0,551.0,59.0,788.0
252,89.0,46.0,20.0,551.0,59.0,788.0
253,89.0,45.0,21.0,551.0,58.0,788.0
254,89.0,46.0,20.0,551.0,59.0,788.0
255,89.0,44.0,20.0,551.0,59.0,787.0
256,89.0,46.0,19.0,550.0,59.0,788.0
257,89.0,46.0,21.0,551.0,59.0,788.0
258,89.0,45.0,21.0,551.0,59.0,789.0
259,89.0,45.0,20.0,551.0,59.0,788.0
260,89.0,46.0,20.0,551.0,60.0,789.0
261,89.0,45.0,20.0,551.0,59.0,787.0
262,88.0,45.0,21.0,551.0,59.0,788.0
263,89.0,46.0,21.0,550.0,59.0,788.0
264,89.0,46.0,21.0,551.0,57.0,788.0
265,88.0,46.0,21.0,551.0,58.0,788.0
266,89.0,44.0,20.0,551.0,58.0,789.0
267,89.0,45.0,22.0,551.0,58.0,789.0
268,89.0,45.0,20.0,552.0,59.0,788.0
269,89.0,45.0,20.0,551.0,59.0,789.0
270,90.0,46.0,21.0,551.0,60.0,788.0
271,89.0,45.0,20.0,552.0,58.0,788.0
272,88.0,45.0,21.0,551.0,59.0,789.0
273,88.0,46.0,21.0,550.0,59.0,788.0
274,89.0,47.0,20.0,552.0,59.0,789.0
275,89.0,47.0,21.0,551.0,59.0,788.0
276,88.0,47.0,21.0,552.0,58.0,789.0
277,89.0,45.0,21.0,551.0,59.0,787.0
278,88.0,46.0,21.0,551.0,59.0,788.0
279,89.0,47.0,19.0,550.0,58.0,788.0
280,89.0,47.0,20.0,551.0,59.0,788.0
281,89.0,47.0,20.0,551.0,59.0,788.0
282,90.0,47.0,19.0,551.0,59.0,788.0
283,89.0,47.0,19.0,551.0,59.0,788.0
284,89.0,46.0,20.0,552.0,59.0,788.0
285,89.0,46.0,20.0,550.0,58.0,788.0
286,88.0,46.0,21.0,550.0,59.0,789.0
287,88.0,46.0,20.0,551.0,59.0,789.0
288,89.0,47.0,21.0,551.0,59.0,789.0
289,88.0,48.0,21.0,551.0,58.0,788.0
290,89.0,47.0,21.0,551.0,59.0,788.0
291,89.0,46.0,21.0,552.0,58.0,788.0
292,89.0,46.0,21.0,551.0,59.0,788.0
293,89.0,47.0,20.0,551.0,59.0,789.0
294,89.0,46.0,20.0,551.0,59.0,788.0
