,Value1,Value2,Value3,Value4,Value5,Value6
0,45.0,67.0,18.0,560.0,23.0,864.0
1,44.0,64.0,21.0,559.0,22.0,864.0
2,40.0,66.0,23.0,557.0,22.0,864.0
3,37.0,67.0,23.0,554.0,25.0,864.0
4,42.0,71.0,20.0,558.0,26.0,864.0
5,45.0,67.0,18.0,560.0,23.0,864.0
6,44.0,64.0,21.0,559.0,22.0,864.0
7,40.0,66.0,23.0,557.0,22.0,864.0
8,37.0,67.0,23.0,554.0,25.0,864.0
9,42.0,71.0,20.0,558.0,26.0,864.0
10,45.0,67.0,18.0,560.0,23.0,864.0
11,44.0,64.0,21.0,559.0,22.0,864.0
12,40.0,66.0,23.0,557.0,22.0,864.0
13,37.0,67.0,23.0,554.0,25.0,864.0
14,38.0,70.0,20.0,555.0,27.0,864.0
15,38.0,69.0,22.0,555.0,25.0,864.0
16,38.0,70.0,21.0,556.0,26.0,863.0
17,39.0,68.0,22.0,555.0,23.0,865.0
18,38.0,67.0,22.0,556.0,24.0,864.0
19,39.0,67.0,24.0,556.0,24.0,864.0
20,39.0,65.0,23.0,557.0,24.0,863.0
21,40.0,65.0,24.0,557.0,22.0,864.0
22,40.0,64.0,22.0,558.0,22.0,864.0
23,42.0,62.0,23.0,559.0,21.0,864.0
24,43.0,63.0,20.0,559.0,21.0,864.0
25,42.0,64.0,20.0,560.0,22.0,864.0
26,43.0,63.0,21.0,561.0,21.0,864.0
27,44.0,64.0,21.0,561.0,22.0,864.0
28,45.0,63.0,19.0,561.0,21.0,864.0
29,44.0,65.0,19.0,562.0,23.0,866.0
30,44.0,66.0,19.0,561.0,23.0,864.0
31,44.0,66.0,19.0,561.0,24.0,864.0
32,45.0,66.0,17.0,561.0,25.0,864.0
33,43.0,66.0,17.0,561.0,25.0,865.0
34,43.0,69.0,17.0,559.0,25.0,867.0
35,44.0,69.0,17.0,559.0,26.0,866.0
36,43.0,71.0,17.0,559.0,28.0,864.0
37,43.0,71.0,19.0,558.0,26.0,864.0
38,40.0,71.0,18.0,558.0,27.0,864.0
39,40.0,71.0,20.0,555.0,27.0,864.0
40,38.0,71.0,20.0,556.0,27.0,864.0
41,38.0,70.0,21.0,555.0,26.0,864.0
