,Value1,Value2,Value3,Value4,Value5,Value6
0,41.0,67.0,24.0,557.0,23.0,864.0
1,3839.0,67.0,24.0,556.0,25.0,864.0
2,39.0,72.0,20.0,556.0,26.0,864.0
3,42.0,71.0,18.0,559.0,26.0,864.0
4,47.0,67.0,19.0,560.0,24.0,864.0
5,45.0,64.0,21.0,560.0,23.0,864.0
6,41.0,67.0,24.0,557.0,23.0,864.0
7,40.0,65.0,24.0,558.0,22.0,863.0
8,41.0,65.0,24.0,558.0,22.0,864.0
9,42.0,64.0,23.0,559.0,23.0,864.0
10,42.0,63.0,22.0,560.0,21.0,865.0
11,44.0,63.0,23.0,561.0,22.0,864.0
12,45.0,63.0,22.0,561.0,22.0,864.0
13,44.0,65.0,22.0,561.0,21.0,863.0
14,45.0,65.0,20.0,562.0,23.0,863.0
15,45.0,65.0,19.0,563.0,24.0,864.0
16,45.0,64.0,18.0,562.0,24.0,864.0
17,44.0,67.0,19.0,562.0,24.0,864.0
18,44.0,66.0,19.0,561.0,23.0,866.0
19,47.0,67.0,17.0,562.0,25.0,864.0
20,44.0,68.0,17.0,561.0,25.0,864.0
21,43.0,68.0,17.0,561.0,25.0,866.0
22,43.0,71.0,17.0,559.0,25.0,863.0
23,42.0,70.0,18.0,559.0,26.0,863.0
24,42.0,71.0,18.0,559.0,26.0,865.0
25,41.0,71.0,19.0,558.0,28.0,866.0
26,40.0,72.0,19.0,558.0,27.0,866.0
27,41.0,72.0,18.0,557.0,26.0,863.0
28,41.0,72.0,20.0,557.0,27.0,863.0
29,40.0,70.0,21.0,556.0,27.0,864.0
30,39.0,70.0,22.0,556.0,28.0,865.0
31,38.0,69.0,23.0,556.0,26.0,864.0
32,38.0,68.0,23.0,556.0,25.0,864.0
33,38.0,69.0,23.0,556.0,25.0,863.0
34,38.0,67.0,22.0,557.0,25.0,864.0
35,38.0,68.0,24.0,556.0,25.0,864.0
36,39.0,71.0,21.0,556.0,26.0,866.0
37,42.0,70.0,19.0,560.0,25.0,864.0
38,46.0,65.0,19.0,562.0,22.0,864.0
39,43.0,65.0,24.0,560.0,23.0,864.0
40,40.0,67.0,24.0,558.0,23.0,864.0
41,38.0,71.0,22.0,556.0,27.0,865.0
42,41.0,70.0,19.0,558.0,26.0,865.0
43,44.0,66.0,18.0,561.0,24.0,864.0
44,43.0,66.0,22.0,560.0,22.0,864.0
45,41.0,65.0,24.0,557.0,24.0,864.0
46,39.0,71.0,21.0,556.0,28.0,865.0
47,41.0,72.0,19.0,558.0,27.0,866.0
48,45.0,69.0,18.0,561.0,24.0,865.0
49,45.0,65.0,21.0,562.0,22.0,864.0
50,41.0,64.0,24.0,558.0,23.0,864.0
51,37.0,69.0,22.0,555.0,26.0,864.0
52,40.0,71.0,18.0,558.0,27.0,865.0
53,45.0,68.0,18.0,560.0,24.0,864.0
54,45.0,65.0,20.0,562.0,22.0,866.0
55,42.0,63.0,24.0,560.0,22.0,864.0
56,38.0,67.0,24.0,556.0,25.0,864.0
57,38.0,72.0,20.0,555.0,27.0,863.0
58,43.0,72.0,17.0,559.0,25.0,864.0
59,46.0,66.0,18.0,562.0,23.0,864.0
60,43.0,62.0,22.0,561.0,22.0,863.0
61,39.0,66.0,25.0,556.0,24.0,864.0
62,38.0,69.0,22.0,556.0,27.0,865.0
63,43.0,70.0,19.0,559.0,26.0,864.0
64,45.0,67.0,19.0,560.0,22.0,865.0
65,44.0,65.0,22.0,562.0,22.0,866.0
66,40.0,65.0,22.0,558.0,23.0,864.0
67,38.0,69.0,22.0,555.0,26.0,864.0
68,40.0,72.0,19.0,557.0,26.0,864.0
69,44.0,68.0,16.0,562.0,23.0,864.0
70,45.0,64.0,20.0,561.0,22.0,864.0
71,41.0,65.0,22.0,559.0,22.0,865.0
72,38.0,69.0,23.0,555.0,25.0,864.0
73,40.0,70.0,20.0,556.0,27.0,864.0
74,44.0,68.0,17.0,559.0,26.0,866.0
75,45.0,66.0,18.0,562.0,22.0,866.0
76,42.0,63.0,21.0,560.0,23.0,864.0
77,39.0,67.0,24.0,557.0,24.0,864.0
78,38.0,71.0,21.0,556.0,27.0,863.0
79,43.0,71.0,18.0,558.0,27.0,864.0
80,47.0,67.0,19.0,562.0,24.0,864.0
81,43.0,65.0,22.0,561.0,22.0,864.0
82,40.0,66.0,24.0,558.0,24.0,864.0
83,38.0,68.0,23.0,556.0,26.0,864.0
84,41.0,72.0,19.0,557.0,26.0,864.0
