,Value1,Value2,Value3,Value4,Value5,Value6
0,117.0,80.0,26.0,674.0,56.0,810.0
1,116.0,80.0,27.0,674.0,57.0,810.0
2,117.0,78.0,26.0,673.0,56.0,810.0
3,117.0,77.0,26.0,674.0,56.0,809.0
4,117.0,80.0,27.0,674.0,56.0,810.0
5,117.0,80.0,26.0,674.0,56.0,810.0
6,116.0,80.0,27.0,674.0,57.0,810.0
7,117.0,79.0,26.0,675.0,56.0,810.0
8,116.0,79.0,26.0,675.0,57.0,810.0
9,117.0,80.0,26.0,674.0,58.0,810.0
10,117.0,80.0,26.0,674.0,57.0,810.0
11,117.0,79.0,27.0,674.0,57.0,810.0
12,118.0,80.0,27.0,674.0,56.0,810.0
13,117.0,80.0,27.0,675.0,57.0,810.0
14,116.0,78.0,26.0,673.0,57.0,810.0
15,116.0,81.0,27.0,674.0,57.0,810.0
16,118.0,80.0,27.0,674.0,57.0,810.0
17,116.0,80.0,26.0,674.0,56.0,810.0
18,117.0,79.0,25.0,674.0,57.0,809.0
19,117.0,79.0,27.0,675.0,56.0,810.0
20,117.0,80.0,27.0,674.0,57.0,810.0
21,117.0,79.0,25.0,674.0,56.0,810.0
22,117.0,80.0,26.0,675.0,56.0,810.0
23,117.0,80.0,26.0,674.0,57.0,810.0
24,116.0,79.0,25.0,674.0,58.0,810.0
25,117.0,77.0,27.0,674.0,57.0,810.0
26,118.0,78.0,26.0,674.0,56.0,810.0
27,117.0,79.0,26.0,675.0,56.0,810.0
28,116.0,79.0,26.0,674.0,56.0,810.0
29,116.0,80.0,25.0,674.0,57.0,810.0
30,116.0,80.0,26.0,675.0,56.0,810.0
31,116.0,79.0,25.0,674.0,56.0,810.0
32,117.0,80.0,26.0,674.0,57.0,810.0
33,117.0,79.0,26.0,674.0,56.0,810.0
34,116.0,79.0,26.0,674.0,57.0,810.0
35,116.0,77.0,26.0,675.0,57.0,810.0
36,117.0,80.0,26.0,674.0,57.0,810.0
37,117.0,79.0,26.0,674.0,56.0,810.0
38,116.0,79.0,26.0,675.0,56.0,810.0
39,117.0,80.0,26.0,673.0,56.0,810.0
40,116.0,80.0,26.0,675.0,57.0,810.0
41,117.0,80.0,26.0,675.0,56.0,810.0
42,117.0,79.0,27.0,674.0,56.0,810.0
43,116.0,79.0,26.0,675.0,56.0,810.0
44,117.0,78.0,26.0,674.0,56.0,810.0
45,117.0,79.0,26.0,675.0,55.0,810.0
46,117.0,80.0,26.0,675.0,57.0,810.0
47,117.0,79.0,26.0,674.0,57.0,810.0
48,117.0,80.0,25.0,675.0,56.0,810.0
49,117.0,79.0,25.0,674.0,55.0,810.0
50,117.0,78.0,25.0,674.0,57.0,811.0
51,116.0,80.0,27.0,675.0,57.0,810.0
52,117.0,79.0,26.0,674.0,56.0,810.0
53,116.0,80.0,27.0,674.0,57.0,810.0
54,117.0,80.0,25.0,675.0,56.0,810.0
55,117.0,80.0,26.0,674.0,56.0,810.0
56,117.0,79.0,27.0,674.0,56.0,810.0
57,117.0,79.0,27.0,675.0,57.0,811.0
58,117.0,78.0,26.0,674.0,56.0,811.0
59,117.0,79.0,26.0,675.0,56.0,810.0
60,118.0,79.0,25.0,675.0,56.0,810.0
61,117.0,79.0,26.0,675.0,57.0,811.0
62,117.0,79.0,26.0,674.0,57.0,810.0
63,117.0,79.0,27.0,675.0,56.0,810.0
64,117.0,81.0,27.0,674.0,57.0,810.0
65,117.0,80.0,26.0,675.0,57.0,810.0
66,117.0,80.0,26.0,674.0,58.0,810.0
67,117.0,80.0,26.0,675.0,56.0,810.0
68,117.0,79.0,26.0,674.0,56.0,810.0
69,117.0,79.0,27.0,675.0,57.0,810.0
70,116.0,79.0,25.0,675.0,57.0,810.0
71,117.0,79.0,26.0,674.0,57.0,810.0
