Location,Density,N_Actual,P_Actual,K_Actual,N_Predicted,P_Predicted,K_Predicted
jintur 2,100,2.290176,0.23184,12.091,2.7885659,0.27060112,11.868491
jintur 2,120,1.90848,0.1932,10.07608,2.0248578,0.1762465,10.455444
jintur 2,140,1.63584,0.1656,8.63664,1.6811618,0.13353609,8.732423
jintur 2,160,1.43136,0.1449,7.55706,1.3990966,0.11194213,7.339512
jintur 2,180,1.27232,0.1288,6.717387,1.206886,0.10647103,7.136256
jintur 2,200,1.145088,0.11592,6.045648,1.0835809,0.13318098,6.2784767
jintur 2,220,1.040989,0.105382,5.496044,1.0709059,0.19060045,6.11246
jintur 2,240,0.95424,0.0966,5.03804,0.9462063,0.2177544,5.207395
jintur 2,60,3.81696,0.3864,20.15216,3.8672767,0.3757236,20.327223
jintur 2,80,2.86272,0.2898,15.11412,2.9420981,0.3032688,14.035718
