,Value1,Value2,Value3,Value4,Value5,Value6
0,37.0,16.0,14.0,624.0,18.0,854.0
1,36.0,8.0,13.0,623.0,18.0,854.0
2,36.0,14.0,12.0,623.0,18.0,854.0
3,35.0,12.0,13.0,625.0,17.0,856.0
4,36.0,13.0,14.0,625.0,17.0,854854.0
5,37.0,14.0,13.0,624.0,18.0,854.0
6,37.0,16.0,14.0,624.0,18.0,854.0
7,36.0,8.0,13.0,623.0,18.0,854.0
8,36.0,14.0,12.0,623.0,18.0,854.0
9,35.0,12.0,13.0,625.0,17.0,856.0
10,36.0,13.0,14.0,625.0,17.0,854854.0
11,37.0,14.0,13.0,624.0,18.0,854.0
12,37.0,16.0,14.0,624.0,18.0,854.0
13,36.0,8.0,13.0,623.0,18.0,854.0
14,36.0,14.0,12.0,623.0,18.0,854.0
15,35.0,12.0,13.0,625.0,17.0,856.0
16,37.0,15.0,12.0,625.0,17.0,855.0
17,37.0,13.0,13.0,625.0,19.0,854.0
18,37.0,14.0,13.0,624.0,17.0,854.0
19,37.0,15.0,13.0,624.0,18.0,854.0
20,37.0,15.0,12.0,625.0,17.0,854.0
21,37.0,13.0,12.0,625.0,16.0,855.0
22,37.0,15.0,14.0,625.0,18.0,854.0
23,37.0,15.0,13.0,624.0,18.0,855.0
24,36.0,14.0,12.0,625.0,18.0,856.0
25,38.0,14.0,13.0,624.0,18.0,854.0
26,36.0,14.0,13.0,624.0,18.0,855.0
27,38.0,15.0,14.0,624.0,18.0,855.0
28,38.0,15.0,12.0,624.0,18.0,854.0
29,37.0,14.0,14.0,624.0,17.0,855.0
30,38.0,15.0,13.0,625.0,17.0,853.0
31,36.0,13.0,13.0,624.0,16.0,854.0
32,38.0,14.0,13.0,624.0,18.0,854.0
33,37.0,15.0,13.0,624.0,18.0,856.0
34,38.0,15.0,13.0,624.0,18.0,854.0
35,37.0,15.0,13.0,624.0,17.0,854.0
36,37.0,14.0,12.0,625.0,17.0,854.0
37,36.0,16.0,14.0,624.0,17.0,856.0
38,38.0,16.0,13.0,624.0,17.0,856.0
39,36.0,15.0,13.0,624.0,17.0,854.0
40,37.0,16.0,12.0,624.0,17.0,854.0
41,38.0,13.0,14.0,624.0,18.0,856.0
42,38.0,14.0,13.0,624.0,17.0,854.0
43,37.0,15.0,12.0,624.0,18.0,854.0
44,37.0,14.0,12.0,624.0,18.0,854.0
45,38.0,15.0,13.0,624.0,18.0,855.0
46,37.0,15.0,14.0,624.0,17.0,855.0
47,36.0,15.0,14.0,624.0,17.0,855.0
48,37.0,14.0,13.0,624.0,17.0,854.0
49,37.0,13.0,13.0,624.0,17.0,855.0
50,37.0,14.0,13.0,625.0,16.0,854.0
51,36.0,16.0,13.0,625.0,17.0,854.0
52,36.0,15.0,13.0,624.0,16.0,854.0
53,36.0,14.0,13.0,624.0,18.0,855.0
54,37.0,16.0,14.0,624.0,17.0,854.0
55,37.0,14.0,13.0,624.0,18.0,855.0
56,37.0,16.0,13.0,623.0,18.0,854.0
57,38.0,14.0,13.0,623.0,17.0,854.0
58,37.0,16.0,14.0,624.0,17.0,856.0
59,37.0,15.0,13.0,624.0,18.0,856.0
60,37.0,15.0,13.0,624.0,18.0,854.0
61,38.0,14.0,13.0,624.0,17.0,855.0
62,37.0,14.0,13.0,624.0,17.0,855.0
63,36.0,15.0,13.0,624.0,17.0,854.0
64,36.0,15.0,13.0,624.0,18.0,856.0
65,37.0,14.0,12.0,624.0,18.0,856.0
66,37.0,15.0,13.0,624.0,18.0,854.0
67,38.0,15.0,13.0,624.0,18.0,854.0
68,36.0,15.0,12.0,624.0,17.0,856.0
69,37.0,15.0,13.0,625.0,16.0,854.0
70,37.0,14.0,13.0,624.0,18.0,855.0
71,36.0,14.0,14.0,624.0,18.0,855.0
72,37.0,15.0,13.0,624.0,17.0,854.0
73,35.0,12.0,14.0,624.0,17.0,855.0
74,36.0,12.0,13.0,624.0,18.0,856.0
75,31.0,8.0,13.0,624.0,18.0,854.0
76,36.0,15.0,13.0,624.0,17.0,854.0
77,35.0,14.0,13.0,624.0,17.0,854.0
78,33.0,8.0,13.0,624.0,17.0,856.0
79,34.0,15.0,12.0,624.0,18.0,856.0
