,Value1,Value2,Value3,Value4,Value5,Value6
0,31.0,62.0,15.0,597.0,19.0,867.0
1,32.0,63.0,16.0,596.0,18.0,866.0
2,31.0,63.0,15.0,596.0,19.0,866.0
3,32.0,63.0,14.0,597.0,19.0,866.0
4,33.0,60.0,15.0,596.0,18.0,866.0
5,31.0,62.0,15.0,597.0,19.0,867.0
6,32.0,63.0,16.0,596.0,18.0,866.0
7,31.0,63.0,15.0,596.0,19.0,866.0
8,32.0,63.0,14.0,597.0,19.0,866.0
9,31.0,63.0,15.0,597.0,18.0,868.0
10,32.0,61.0,15.0,596.0,19.0,866.0
11,33.0,62.0,15.0,597.0,19.0,865.0
12,32.0,63.0,14.0,596.0,20.0,866.0
13,32.0,61.0,15.0,597.0,20.0,867.0
14,32.0,61.0,15.0,596.0,19.0,867.0
15,31.0,62.0,15.0,596.0,19.0,866.0
16,32.0,61.0,15.0,596.0,19.0,866.0
17,32.0,63.0,15.0,597.0,21.0,866.0
18,33.0,61.0,16.0,596.0,19.0,867.0
19,32.0,62.0,15.0,598.0,18.0,867.0
20,32.0,63.0,14.0,597.0,18.0,867.0
21,32.0,62.0,15.0,596.0,19.0,867.0
22,33.0,64.0,15.0,597.0,19.0,866.0
23,33.0,62.0,15.0,596.0,19.0,866.0
24,32.0,62.0,15.0,596.0,19.0,866.0
25,32.0,63.0,15.0,595.0,18.0,867.0
26,33.0,63.0,16.0,597.0,19.0,867.0
27,31.0,61.0,15.0,596.0,19.0,867.0
28,32.0,62.0,15.0,596.0,19.0,866.0
29,32.0,63.0,14.0,596.0,19.0,868.0
30,32.0,61.0,15.0,597.0,19.0,868.0
31,32.0,62.0,15.0,596.0,19.0,868.0
32,32.0,61.0,14.0,597.0,19.0,866.0
33,32.0,62.0,14.0,596.0,20.0,868.0
34,33.0,62.0,15.0,596.0,18.0,867.0
35,32.0,62.0,16.0,596.0,19.0,866.0
36,32.0,62.0,16.0,597.0,19.0,866.0
37,31.0,62.0,14.0,596.0,19.0,866.0
38,31.0,61.0,15.0,597.0,18.0,866.0
39,32.0,60.0,14.0,597.0,19.0,866.0
40,32.0,62.0,16.0,596.0,18.0,867.0
41,33.0,62.0,14.0,596.0,19.0,866.0
42,32.0,61.0,15.0,596.0,19.0,866.0
43,31.0,61.0,15.0,596.0,19.0,866.0
44,32.0,62.0,14.0,596.0,19.0,868.0
45,32.0,62.0,15.0,596.0,18.0,867.0
46,32.0,62.0,15.0,597.0,20.0,866.0
47,32.0,63.0,15.0,596.0,19.0,866.0
48,31.0,62.0,15.0,596.0,19.0,867.0
49,31.0,61.0,15.0,597.0,18.0,865.0
50,32.0,62.0,15.0,596.0,19.0,865.0
51,31.0,62.0,16.0,597.0,19.0,868.0
52,32.0,62.0,14.0,596.0,20.0,866.0
53,31.0,60.0,16.0,596.0,20.0,866.0
54,31.0,62.0,15.0,595.0,18.0,867.0
55,32.0,61.0,16.0,596.0,20.0,866.0
56,31.0,60.0,15.0,596.0,20.0,866.0
57,32.0,63.0,15.0,596.0,19.0,867.0
58,31.0,61.0,15.0,597.0,19.0,866.0
59,32.0,63.0,16.0,596.0,18.0,866.0
60,32.0,62.0,15.0,596.0,18.0,867.0
61,32.0,62.0,14.0,596.0,18.0,866.0
62,32.0,61.0,16.0,596.0,19.0,866.0
63,31.0,62.0,15.0,596.0,19.0,867.0
64,32.0,62.0,15.0,597.0,19.0,867.0
65,32.0,61.0,15.0,597.0,20.0,866.0
66,31.0,62.0,14.0,596.0,19.0,866.0
67,31.0,62.0,14.0,597.0,20.0,866.0
68,31.0,60.0,15.0,596.0,19.0,867.0
69,32.0,62.0,15.0,597.0,20.0,868.0
70,32.0,61.0,15.0,596.0,18.0,867.0
71,31.0,61.0,15.0,596.0,18.0,866.0
72,31.0,62.0,16.0,596.0,19.0,866.0
73,32.0,62.0,16.0,597.0,18.0,867.0
74,31.0,62.0,14.0,596.0,18.0,866.0
