,Value1,Value2,Value3,Value4,Value5,Value6
0,57.0,55.0,14.0,591.0,66.0,865.0
1,57.0,56.0,15.0,591.0,65.0,865.0
2,58.0,56.0,14.0,591.0,66.0,865.0
3,57.0,55.0,15.0,590.0,66.0,866.0
4,58.0,56.0,14.0,591.0,66.0,867.0
5,58.0,56.0,14.0,592.0,66.0,866.0
6,58.0,57.0,13.0,591.0,66.0,864.0
7,58.0,56.0,14.0,592.0,65.0,866.0
8,57.0,57.0,14.0,592.0,65.0,865.0
9,58.0,55.0,14.0,591.0,65.0,864.0
10,58.0,57.0,15.0,592.0,66.0,865.0
11,57.0,56.0,15.0,591.0,65.0,864.0
12,58.0,56.0,15.0,591.0,64.0,865.0
13,58.0,58.0,15.0,591.0,66.0,865.0
14,58.0,57.0,14.0,591.0,66.0,865.0
15,58.0,57.0,15.0,591.0,66.0,865.0
16,57.0,56.0,14.0,592.0,65.0,865.0
17,58.0,56.0,15.0,592.0,65.0,866.0
18,58.0,58.0,15.0,591.0,66.0,865.0
19,58.0,57.0,14.0,592.0,65.0,864.0
20,58.0,56.0,13.0,591.0,65.0,865.0
21,58.0,56.0,15.0,591.0,65.0,865.0
22,58.0,57.0,15.0,592.0,64.0,866.0
23,58.0,58.0,14.0,591.0,65.0,864.0
24,58.0,58.0,14.0,591.0,65.0,865.0
25,59.0,58.0,14.0,591.0,65.0,865.0
26,57.0,58.0,14.0,591.0,66.0,867.0
27,59.0,57.0,16.0,592.0,65.0,864.0
28,58.0,58.0,15.0,592.0,64.0,865.0
29,57.0,59.0,15.0,592.0,64.0,866.0
30,58.0,58.0,14.0,592.0,66.0,865.0
31,58.0,58.0,15.0,591.0,66.0,865.0
32,59.0,59.0,15.0,591.0,65.0,865.0
33,58.0,59.0,15.0,591.0,64.0,866.0
34,58.0,58.0,15.0,591.0,65.0,867.0
35,58.0,58.0,15.0,592.0,65.0,865.0
36,57.0,59.0,15.0,592.0,65.0,867.0
37,57.0,59.0,15.0,592.0,65.0,864.0
38,58.0,59.0,15.0,591.0,66.0,866.0
39,58.0,57.0,14.0,592.0,65.0,866.0
40,58.0,58.0,15.0,591.0,64.0,865.0
41,58.0,59.0,14.0,591.0,66.0,865.0
42,58.0,60.0,16.0,592.0,65.0,866.0
43,59.0,59.0,14.0,592.0,65.0,865.0
44,58.0,59.0,14.0,592.0,65.0,864.0
45,58.0,59.0,16.0,591.0,64.0,865.0
46,57.0,59.0,15.0,591.0,66.0,867.0
47,57.0,59.0,15.0,591.0,66.0,864.0
48,59.0,59.0,15.0,591.0,65.0,864.0
49,58.0,59.0,14.0,591.0,65.0,865.0
50,58.0,57.0,14.0,591.0,65.0,865.0
51,57.0,59.0,15.0,591.0,65.0,864.0
52,57.0,57.0,14.0,591.0,66.0,865.0
53,58.0,58.0,14.0,591.0,65.0,867.0
54,57.0,58.0,15.0,591.0,65.0,865.0
55,57.0,57.0,15.0,592.0,64.0,865.0
56,59.0,60.0,14.0,591.0,66.0,867.0
57,58.0,58.0,15.0,592.0,65.0,865.0
58,58.0,59.0,14.0,592.0,65.0,866.0
59,58.0,58.0,15.0,591.0,64.0,865.0
60,59.0,58.0,15.0,592.0,64.0,866.0
61,58.0,57.0,15.0,592.0,65.0,865.0
62,58.0,59.0,14.0,592.0,65.0,867.0
63,58.0,59.0,15.0,591.0,65.0,865.0
64,58.0,58.0,15.0,592.0,65.0,866.0
65,59.0,59.0,14.0,592.0,66.0,865.0
66,58.0,58.0,14.0,591.0,64.0,865.0
67,58.0,59.0,15.0,592.0,65.0,866.0
68,59.0,58.0,14.0,592.0,66.0,865.0
69,58.0,58.0,15.0,592.0,65.0,865.0
70,59.0,58.0,14.0,592.0,66.0,865.0
71,58.0,58.0,15.0,591.0,64.0,864.0
72,58.0,58.0,14.0,592.0,65.0,864.0
73,58.0,58.0,14.0,592.0,65.0,865.0
74,57.0,59.0,14.0,591.0,65.0,865.0
75,58.0,58.0,15.0,591.0,65.0,865.0
76,57.0,58.0,14.0,591.0,65.0,867.0
77,58.0,57.0,15.0,591.0,66.0,866.0
78,58.0,58.0,15.0,592.0,65.0,865.0
79,59.0,58.0,14.0,592.0,65.0,866.0
80,58.0,57.0,14.0,591.0,64.0,865.0
81,60.0,58.0,15.0,592.0,66.0,865.0
82,58.0,59.0,14.0,591.0,65.0,864.0
83,58.0,57.0,14.0,592.0,64.0,865.0
84,57.0,58.0,14.0,592.0,66.0,864.0
85,58.0,59.0,15.0,591.0,65.0,865.0
86,58.0,59.0,15.0,592.0,65.0,865.0
87,58.0,58.0,15.0,592.0,66.0,865.0
88,58.0,59.0,15.0,592.0,66.0,864.0
89,58.0,58.0,13.0,592.0,65.0,865.0
90,58.0,58.0,14.0,592.0,65.0,865.0
91,57.0,58.0,15.0,592.0,65.0,866.0
92,57.0,58.0,16.0,592.0,64.0,866.0
93,58.0,57.0,14.0,592.0,65.0,865.0
94,58.0,59.0,15.0,591.0,65.0,867.0
95,59.0,59.0,15.0,592.0,66.0,865.0
96,58.0,59.0,15.0,592.0,66.0,865.0
97,59.0,59.0,14.0,592.0,65.0,865.0
98,58.0,59.0,15.0,592.0,65.0,865.0
99,59.0,58.0,14.0,592.0,65.0,865.0
100,58.0,60.0,15.0,592.0,66.0,865.0
101,57.0,58.0,15.0,591.0,65.0,866.0
102,59.0,58.0,14.0,591.0,65.0,865.0
103,58.0,58.0,15.0,592.0,65.0,865.0
104,58.0,59.0,15.0,592.0,65.0,864.0
105,59.0,59.0,14.0,591.0,65.0,865.0
106,58.0,60.0,13.0,591.0,66.0,864.0
107,57.0,57.0,15.0,592.0,66.0,864.0
108,58.0,59.0,14.0,591.0,65.0,867.0
109,58.0,58.0,14.0,591.0,65.0,865.0
110,58.0,58.0,15.0,592.0,64.0,865.0
111,58.0,58.0,15.0,592.0,65.0,866.0
112,59.0,58.0,15.0,593.0,65.0,867.0
113,58.0,59.0,15.0,591.0,64.0,865.0
114,58.0,59.0,14.0,592.0,65.0,865.0
115,58.0,59.0,15.0,592.0,65.0,864.0
116,59.0,60.0,15.0,591.0,67.0,866.0
117,58.0,58.0,14.0,592.0,66.0,866.0
118,58.0,59.0,14.0,592.0,65.0,865.0
119,59.0,58.0,14.0,592.0,66.0,867.0
120,58.0,58.0,15.0,592.0,64.0,865.0
121,58.0,58.0,15.0,592.0,65.0,865.0
122,59.0,57.0,15.0,591.0,65.0,865.0
123,59.0,58.0,15.0,592.0,65.0,864.0
124,58.0,58.0,15.0,591.0,65.0,864.0
125,58.0,59.0,15.0,592.0,66.0,865.0
126,58.0,58.0,15.0,591.0,64.0,867.0
127,58.0,57.0,14.0,592.0,65.0,864.0
128,58.0,59.0,15.0,592.0,65.0,865.0
129,59.0,56.0,14.0,592.0,65.0,865.0
130,57.0,57.0,14.0,592.0,65.0,866.0
131,58.0,58.0,16.0,591.0,65.0,864.0
132,58.0,58.0,15.0,592.0,64.0,865.0
133,57.0,57.0,15.0,593.0,65.0,865.0
134,58.0,58.0,14.0,592.0,66.0,866.0
135,58.0,58.0,14.0,593.0,65.0,865.0
136,58.0,58.0,15.0,592.0,65.0,865.0
137,58.0,59.0,15.0,591.0,66.0,865.0
138,58.0,59.0,14.0,592.0,64.0,864.0
139,57.0,58.0,15.0,591.0,65.0,866.0
140,58.0,58.0,15.0,591.0,65.0,865.0
141,58.0,57.0,14.0,592.0,65.0,864.0
142,58.0,59.0,15.0,591.0,66.0,866.0
143,59.0,58.0,14.0,591.0,65.0,866.0
144,59.0,58.0,14.0,592.0,65.0,865.0
145,59.0,57.0,15.0,591.0,65.0,865.0
146,58.0,59.0,15.0,591.0,66.0,866.0
147,58.0,57.0,14.0,592.0,65.0,865.0
148,59.0,59.0,15.0,593.0,65.0,867.0
149,59.0,57.0,15.0,592.0,66.0,867.0
150,58.0,58.0,14.0,592.0,66.0,866.0
151,58.0,57.0,15.0,592.0,64.0,865.0
152,58.0,56.0,14.0,592.0,65.0,865.0
153,58.0,59.0,15.0,592.0,66.0,866.0
154,58.0,57.0,15.0,592.0,66.0,865.0
155,58.0,59.0,15.0,592.0,65.0,865.0
156,59.0,57.0,15.0,592.0,65.0,867.0
157,59.0,58.0,15.0,592.0,65.0,867.0
158,59.0,58.0,16.0,592.0,66.0,866.0
159,58.0,57.0,14.0,592.0,64.0,865.0
160,59.0,58.0,15.0,592.0,65.0,865.0
161,57.0,58.0,15.0,592.0,66.0,865.0
162,58.0,58.0,14.0,592.0,65.0,865.0
163,58.0,57.0,15.0,591.0,65.0,865.0
164,57.0,57.0,16.0,592.0,65.0,867.0
165,57.0,59.0,15.0,592.0,65.0,865.0
166,58.0,58.0,16.0,592.0,65.0,866.0
167,58.0,60.0,16.0,592.0,65.0,865.0
168,58.0,59.0,14.0,592.0,66.0,865.0
169,59.0,58.0,15.0,592.0,65.0,865.0
170,57.0,58.0,15.0,592.0,66.0,865.0
171,57.0,57.0,15.0,592.0,66.0,864.0
172,59.0,58.0,15.0,592.0,65.0,865.0
173,59.0,59.0,15.0,593.0,65.0,865.0
174,59.0,57.0,15.0,592.0,66.0,865.0
175,59.0,57.0,14.0,592.0,65.0,867.0
176,58.0,57.0,15.0,592.0,66.0,864.0
177,58.0,59.0,14.0,592.0,65.0,866.0
178,58.0,57.0,14.0,592.0,65.0,866.0
179,58.0,58.0,16.0,592.0,65.0,865.0
180,58.0,57.0,15.0,592.0,65.0,865.0
181,58.0,58.0,15.0,592.0,66.0,864.0
182,58.0,59.0,16.0,593.0,65.0,865.0
183,58.0,58.0,14.0,592.0,65.0,865.0
184,58.0,56.0,14.0,591.0,65.0,867.0
185,58.0,58.0,14.0,592.0,65.0,864.0
186,58.0,57.0,15.0,593.0,65.0,867.0
187,58.0,57.0,14.0,592.0,65.0,865.0
188,58.0,57.0,14.0,592.0,64.0,866.0
189,58.0,57.0,15.0,592.0,65.0,866.0
190,59.0,57.0,15.0,593.0,64.0,864.0
191,59.0,59.0,15.0,592.0,65.0,865.0
192,58.0,57.0,16.0,592.0,65.0,867.0
193,58.0,58.0,14.0,593.0,66.0,866.0
194,58.0,57.0,15.0,592.0,66.0,865.0
195,58.0,58.0,15.0,592.0,65.0,864.0
196,58.0,57.0,14.0,591.0,65.0,864.0
197,59.0,59.0,16.0,593.0,65.0,866.0
198,58.0,58.0,14.0,592.0,65.0,865.0
199,57.0,58.0,14.0,592.0,66.0,865.0
200,59.0,59.0,15.0,592.0,66.0,865.0
201,58.0,59.0,14.0,593.0,65.0,866.0
202,58.0,57.0,15.0,592.0,66.0,865.0
203,58.0,58.0,14.0,592.0,65.0,865.0
204,58.0,58.0,16.0,592.0,65.0,865.0
205,58.0,58.0,15.0,592.0,64.0,865.0
206,58.0,57.0,14.0,591.0,66.0,865.0
207,59.0,59.0,15.0,593.0,65.0,866.0
208,58.0,58.0,16.0,593.0,66.0,865.0
209,58.0,58.0,15.0,592.0,65.0,866.0
210,59.0,57.0,15.0,593.0,65.0,866.0
211,59.0,58.0,15.0,592.0,65.0,866.0
212,58.0,58.0,15.0,593.0,65.0,864.0
213,58.0,58.0,15.0,592.0,64.0,867.0
214,58.0,57.0,15.0,592.0,65.0,866.0
215,59.0,58.0,15.0,592.0,65.0,865.0
216,59.0,56.0,16.0,592.0,65.0,867.0
217,59.0,58.0,15.0,593.0,65.0,866.0
218,58.0,57.0,14.0,593.0,66.0,866.0
219,58.0,58.0,15.0,592.0,65.0,867.0
220,59.0,57.0,14.0,592.0,65.0,865.0
221,59.0,57.0,15.0,593.0,65.0,866.0
222,59.0,59.0,16.0,591.0,66.0,866.0
223,57.0,59.0,15.0,593.0,65.0,867.0
224,57.0,56.0,15.0,593.0,64.0,865.0
225,59.0,59.0,15.0,592.0,65.0,865.0
226,58.0,58.0,14.0,592.0,65.0,865.0
227,59.0,57.0,14.0,593.0,66.0,865.0
228,57.0,58.0,15.0,593.0,65.0,864.0
229,58.0,57.0,16.0,592.0,65.0,865.0
230,58.0,57.0,16.0,592.0,65.0,866.0
231,58.0,57.0,16.0,592.0,66.0,865.0
232,58.0,57.0,15.0,593.0,64.0,864.0
233,58.0,57.0,15.0,592.0,65.0,865.0
234,59.0,56.0,16.0,593.0,64.0,864.0
235,59.0,58.0,15.0,592.0,65.0,865.0
236,58.0,57.0,15.0,592.0,66.0,866.0
237,58.0,58.0,15.0,592.0,66.0,865.0
238,58.0,57.0,14.0,592.0,65.0,865.0
239,58.0,57.0,14.0,592.0,65.0,865.0
240,58.0,57.0,16.0,593.0,64.0,866.0
241,58.0,55.0,15.0,593.0,66.0,865.0
242,58.0,57.0,15.0,592.0,65.0,865.0
243,58.0,56.0,15.0,593.0,65.0,865.0
